Temps (s) 	 Thermocouple (°C) 	 Lumière 	 Pression (Pa)
523.77	7.33	1010.00	94196.43
524.82	7.33	1010.00	94196.43
525.87	7.82	1010.00	93973.21
526.92	7.33	1010.00	93973.21
527.97	7.82	1010.00	93973.21
529.02	7.33	1010.00	93973.21
530.07	7.82	1010.00	94196.43
531.13	7.82	1010.00	94196.43
532.20	7.82	1010.00	93973.21
533.25	7.82	1010.00	93973.21
534.30	7.82	1010.00	93973.21
535.35	7.82	1010.00	93973.21
536.41	7.82	1010.00	94196.43
537.46	7.82	1010.00	93973.21
538.51	7.82	1010.00	94196.43
539.56	7.82	1010.00	93973.21
540.61	7.82	1010.00	93973.21
541.66	7.82	1010.00	93973.21
542.71	7.82	1010.00	94196.43
543.76	7.82	1010.00	94196.43
544.81	7.82	1011.00	94196.43
545.86	7.82	1010.00	93973.21
546.91	7.82	1010.00	93973.21
547.96	7.82	1011.00	93973.21
549.02	7.82	1010.00	93973.21
550.07	7.82	1011.00	93973.21
551.12	7.82	1011.00	94196.43
552.17	7.82	1010.00	93973.21
553.22	7.82	1007.00	93973.21
554.27	7.82	1009.00	93973.21
555.32	7.82	1009.00	97321.43
556.37	7.82	1009.00	97544.64
557.42	7.82	1010.00	97321.43
558.47	7.82	1008.00	97544.64
559.52	7.82	1006.00	97544.64
560.58	7.82	1005.00	97321.43
